num_cars,frame,num_cars_time,colours,colours_time,car_type,car_type_time
0,136,0.365685,,0.000005,,0.274404
0,137,0.285588,,0.000005,,0.308634
0,138,0.231165,,0.000004,,0.128367
0,139,0.360180,,0.000005,,0.307934
0,140,0.281367,,0.000005,,0.307109
0,141,0.236513,,0.000004,,0.127925
0,142,0.381396,,0.000005,,0.234536
0,143,0.272526,,0.000006,,0.318395
0,144,0.227260,,0.000004,,0.140156
0,145,0.366765,,0.000005,,0.256672
0,146,0.286734,,0.000004,,0.298800
0,147,0.223463,,0.000006,,0.155248
0,148,0.368872,,0.000005,,0.264541
0,149,0.275806,,0.000006,,0.118083
0,150,0.224372,,0.000004,,0.312182
0,151,0.369800,,0.000007,,0.232355
0,152,0.268331,,0.000005,,0.142452
0,153,0.235161,,0.000005,,0.370726
0,154,0.367300,,0.000005,,0.232232
0,155,0.266887,,0.000006,,0.156269
0,156,0.240322,,0.000006,,0.406674
0,157,0.352823,,0.000005,,0.263218
0,158,0.275537,,0.000006,,0.134924
0,159,0.236729,,0.000005,,0.340109
0,160,0.368290,,0.000005,,0.239360
0,161,0.243760,,0.000004,,0.115651
0,162,0.209233,,0.000005,,0.160631
0,163,0.343992,,0.000005,,0.479352
0,164,0.282095,,0.000005,,0.124928
0,165,0.240020,,0.000004,,0.148818
0,166,0.374990,,0.000005,,0.384470
0,167,0.267888,,0.000006,,0.156558
0,168,0.227650,,0.000004,,0.134446
0,169,0.368158,,0.000005,,0.383468
0,170,0.288933,,0.000010,,0.124199
0,171,0.210015,,0.000004,,0.136570
0,172,0.358462,,0.000006,,0.444515
0,173,0.266701,,0.000005,,0.139732
0,174,0.240834,,0.000005,,0.121136
0,175,0.363201,,0.000006,,0.282080
0,176,0.282690,,0.000006,,0.311314
0,177,0.227761,,0.000004,,0.147885
0,178,0.359744,,0.000006,,0.281695
0,179,0.261011,,0.000006,,0.330022
0,180,0.237465,,0.000005,,0.141427
0,181,0.361402,,0.000008,,0.272562
0,182,0.269969,,0.000006,,0.319538
0,183,0.232652,,0.000005,,0.159049
0,184,0.360348,,0.000008,,0.278897
0,185,0.273042,,0.000005,,0.312210
0,186,0.241895,,0.000005,,0.153068
0,187,0.365080,,0.000007,,0.268952
0,188,0.270447,,0.000006,,0.136867
0,189,0.239522,,0.000005,,0.392676
0,190,0.366586,,0.000005,,0.306710
0,191,0.274726,,0.000004,,0.138231
0,192,0.249571,,0.000006,,0.346598
0,193,0.362149,,0.000006,,0.245165
0,194,0.264074,,0.000007,,0.141237
0,195,0.242143,,0.000005,,0.366401
0,196,0.352272,,0.000006,,0.299457
0,197,0.269415,,0.000007,,0.129339
0,198,0.250833,,0.000005,,0.331565
0,199,0.367352,,0.000006,,0.275854
0,200,0.253888,,0.000004,,0.127350
0,201,0.211809,,0.000006,,0.126365
0,202,0.374163,,0.000005,,0.419705
0,203,0.270451,,0.000006,,0.147085
0,204,0.235826,,0.000004,,0.150420
