num_cars,frame,num_cars_time,colours,colours_time,car_type,car_type_time,,,Sedan,Hatchback,black,silver,red,white,blue,black,silver,red,white,blue,Q1_Time,Q2_time,Q3_time,black,silver,red,white,blue
0,43,0.213957,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.534625,0.816492,0.816514,0,0,0,0,0
0,44,0.210425,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.34046,0.556062,0.556068,0,0,0,0,0
0,45,0.217907,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.310324,0.521612,0.52162,0,0,0,0,0
0,46,0.212201,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.364545,0.824932,0.824936,0,0,0,0,0
0,47,0.211249,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.343361,0.560508,0.560517,0,0,0,0,0
0,48,0.208957,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.463098,0.702781,0.70279,0,0,0,0,0
0,49,0.216876,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.47847,1.097916,1.097924,0,0,0,0,0
0,50,0.20749,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.389436,0.655776,0.655782,0,0,0,0,0
0,51,0.211518,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.461962,0.718727,0.718734,0,0,0,0,0
0,52,0.218571,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.424248,0.922046,0.922054,0,0,0,0,0
0,53,0.209726,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.453817,0.782325,0.782331,0,0,0,0,0
1,54,0.212098,black,0.00159,hatchback,0.080456,,,0,1,1,0,0,0,0,0,0,0,0,0,0.342008,0.580221,0.582373,1,0,0,0,0
0,55,0.217571,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.474647,1.007893,1.007901,0,0,0,0,0
1,56,0.213085,black,0.00167,hatchback,0.207937,,,0,1,1,0,0,0,0,0,0,0,0,0,0.488512,0.681932,0.684864,1,0,0,0,0
1,57,0.217708,black,0.001576,hatchback,0.077274,,,0,1,1,0,0,0,0,0,0,0,0,0,0.406463,0.601982,0.610314,1,0,0,0,0
1,58,0.20759,black,0.001684,hatchback,0.081529,,,0,1,1,0,0,0,0,0,0,0,0,0,0.457589,0.799041,0.801862,1,0,0,0,0
0,59,0.232761,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.468265,0.952177,0.952202,0,0,0,0,0
1,60,0.215847,black,0.00164,hatchback,0.210607,,,0,1,1,0,0,0,0,0,0,0,0,0,0.471649,0.71683,0.720029,1,0,0,0,0
1,61,0.215016,black,0.001635,hatchback,0.087831,,,0,1,1,0,0,0,0,0,0,0,0,0,0.393287,0.637598,0.64053,1,0,0,0,0
1,62,0.213008,black,0.001672,hatchback,0.076291,,,0,1,1,0,0,0,0,0,0,0,0,0,0.562141,1.202207,1.20473,1,0,0,0,0
1,63,0.215058,black,0.001703,hatchback,0.214066,,,0,1,1,0,0,0,0,0,0,0,0,0,0.584832,0.845433,0.848951,1,0,0,0,0
1,64,0.212523,black,0.00164,hatchback,0.07524,,,0,1,0,1,0,0,0,0,0,0,0,0,0.506427,0.826901,0.830894,1,0,0,0,0
1,65,0.209209,black,0.001656,hatchback,0.08183,,,0,1,1,0,0,0,0,0,0,0,0,0,0.499383,1.029933,1.033928,1,0,0,0,0
1,66,0.211068,black,0.001644,hatchback,0.210592,,,0,1,1,0,0,0,0,0,0,0,0,0,0.496107,0.76642,0.769983,1,0,0,0,0
1,67,0.209869,black,0.00168,hatchback,0.082089,,,0,1,1,0,0,0,0,0,0,0,0,0,0.366309,0.599724,0.602851,1,0,0,0,0
1,68,0.211027,black,0.001596,hatchback,0.07576,,,0,1,1,0,0,0,0,0,0,0,0,0,0.486202,1.014574,1.018969,1,0,0,0,0
1,69,0.211853,black,0.001534,hatchback,0.0785,,,0,1,1,0,0,0,0,0,0,0,0,0,0.427251,0.640528,0.64378,1,0,0,0,0
1,70,0.216024,black,0.001769,hatchback,0.208465,,,0,1,1,0,0,0,0,0,0,0,0,0,0.647339,0.872628,0.879348,1,0,0,0,0
1,71,0.215159,black,0.001606,hatchback,0.083778,,,0,1,1,0,0,0,0,0,0,0,0,0,0.537365,0.919949,0.928198,1,0,0,0,0
1,72,0.221205,black,0.002351,hatchback,0.079281,,,0,1,1,0,0,0,0,0,0,0,0,0,0.559647,1.430503,1.435591,1,0,0,0,0
1,73,0.209465,black,0.001681,hatchback,0.212772,,,0,1,1,0,0,0,0,0,0,0,0,0,0.451117,0.720551,0.728276,1,0,0,0,0
1,74,0.209955,black,0.002376,hatchback,0.074318,,,0,1,1,0,0,0,0,0,0,0,0,0,0.537161,0.879935,0.884043,1,0,0,0,0
0,75,0.208639,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.618329,1.185518,1.185528,0,0,0,0,0
1,76,0.215816,black,0.002203,hatchback,0.075129,,,0,1,1,0,0,0,0,0,0,0,0,0,0.561017,0.850691,0.857364,1,0,0,0,0
1,77,0.213234,black,0.002393,hatchback,0.213086,,,0,1,1,0,0,0,0,0,0,0,0,0,0.454273,0.941239,0.944357,1,0,0,0,0
1,78,0.216087,black,0.002411,hatchback,0.074629,,,0,1,1,0,0,0,0,0,0,0,0,0,0.533183,1.146864,1.157077,1,0,0,0,0
1,79,0.214365,black,0.001635,hatchback,0.081128,,,0,1,1,0,0,0,0,0,0,0,0,0,0.474431,0.821245,0.82507,1,0,0,0,0
0,80,0.219147,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.404566,0.712894,0.712902,0,0,0,0,0
0,81,0.216576,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.331837,0.820024,0.820031,0,0,0,0,0
0,82,0.210283,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.407558,0.705769,0.705778,0,0,0,0,0
0,83,0.208467,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.383738,0.578381,0.578388,0,0,0,0,0
0,84,0.218826,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.26797,0.489166,0.489171,0,0,0,0,0
0,85,0.210032,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.344059,0.77593,0.775937,0,0,0,0,0
1,86,0.212371,white,0.001688,hatchback,0.207281,,,0,1,0,1,0,0,0,0,0,0,0,0,0.39794,0.600675,0.603651,0,0,0,1,0
1,87,0.210965,silver,0.002359,hatchback,0.079652,,,0,1,0,1,0,0,0,0,0,0,0,0,0.310366,0.466494,0.47027,0,1,0,0,0
1,88,0.210554,white,0.002387,hatchback,0.077614,,,0,1,0,1,0,0,0,0,0,0,0,0,0.419217,0.810298,0.813965,0,0,0,1,0
1,89,0.213198,white,0.002415,hatchback,0.08134,,,0,1,0,1,0,0,0,0,0,0,0,0,0.335071,0.559907,0.562037,0,0,0,1,0
1,90,0.210392,white,0.00238,hatchback,0.220207,,,0,1,0,1,0,0,0,0,0,0,0,0,0.441902,0.802251,0.805302,0,0,0,1,0
1,91,0.21173,white,0.001594,hatchback,0.076902,,,0,1,0,1,0,0,0,0,0,0,0,0,0.353306,0.781441,0.784559,0,0,0,1,0
1,92,0.218869,white,0.001577,hatchback,0.07861,,,0,1,0,1,0,0,0,0,0,0,0,0,0.354192,0.575782,0.578696,0,0,0,1,0
1,93,0.259272,silver,0.002353,hatchback,0.211856,,,0,1,0,1,0,0,0,0,0,0,0,0,0.375401,0.601193,0.604337,0,1,0,0,0
1,94,0.213878,white,0.001601,hatchback,0.077919,,,0,1,0,1,0,0,0,0,0,0,0,0,0.3212,0.718571,0.721567,0,0,0,1,0
1,95,0.214969,white,0.001634,hatchback,0.082925,,,0,1,0,1,0,0,0,0,0,0,0,0,0.469032,0.807802,0.810048,0,0,0,1,0
1,96,0.212784,black,0.001629,hatchback,0.227366,,,0,1,0,1,0,0,0,0,0,0,0,0,0.395016,0.592153,0.594334,1,0,0,0,0
1,97,0.211944,silver,0.001639,hatchback,0.078243,,,0,1,0,1,0,0,0,0,0,0,0,0,0.285146,0.534037,0.536749,0,1,0,0,0
1,98,0.217333,white,0.001623,hatchback,0.075316,,,0,1,0,1,0,0,0,0,0,0,0,0,0.451235,1.116847,1.119778,0,0,0,1,0
1,99,0.218745,black,0.001603,hatchback,0.21219,,,0,1,1,0,0,0,0,0,0,0,0,0,0.359897,0.562364,0.564298,1,0,0,0,0
1,100,0.213225,white,0.00172,hatchback,0.083798,,,0,1,0,1,0,0,0,0,0,0,0,0,0.454692,0.737881,0.741071,0,0,0,1,0
1,101,0.216375,black,0.001673,hatchback,0.085679,,,0,1,1,0,0,0,0,0,0,0,0,0,0.384875,0.86548,0.868502,1,0,0,0,0
1,102,0.209186,white,0.001688,hatchback,0.079023,,,0,1,0,1,0,0,0,0,0,0,0,0,0.319689,0.474668,0.477567,0,0,0,1,0
1,103,0.213915,black,0.001658,hatchback,0.210563,,,0,1,0,1,0,0,0,0,0,0,0,0,0.347189,0.512559,0.515249,1,0,0,0,0
1,104,0.210219,white,0.001538,hatchback,0.076065,,,0,1,0,1,0,0,0,0,0,0,0,0,0.290288,0.64514,0.648178,0,0,0,1,0
1,105,0.225422,white,0.002444,hatchback,0.081456,,,0,1,1,0,0,0,0,0,0,0,0,0,0.387483,0.630072,0.648352,0,0,0,1,0
1,106,0.221902,white,0.00242,hatchback,0.207726,,,0,1,0,1,0,0,0,0,0,0,0,0,0.430139,0.584058,0.587453,0,0,0,1,0
1,107,0.217542,black,0.001548,hatchback,0.081554,,,0,1,1,0,0,0,0,0,0,0,0,0,0.348909,0.731672,0.737826,1,0,0,0,0
1,108,0.209242,black,0.002327,hatchback,0.074944,,,0,1,1,0,0,0,0,0,0,0,0,0,0.388208,0.610554,0.61377,1,0,0,0,0
1,109,0.21404,black,0.001653,hatchback,0.210067,,,0,1,1,0,0,0,0,0,0,0,0,0,0.265937,0.496699,0.501248,1,0,0,0,0
1,110,0.215953,black,0.001602,hatchback,0.078867,,,0,1,1,0,0,0,0,0,0,0,0,0,0.455129,0.729545,0.733122,1,0,0,0,0
1,111,0.213163,black,0.002389,hatchback,0.080285,,,0,1,1,0,0,0,0,0,0,0,0,0,0.364618,0.802922,0.805512,1,0,0,0,0
1,112,0.215456,white,0.001604,hatchback,0.210876,,,0,1,0,1,0,0,0,0,0,0,0,0,0.314303,0.506548,0.50933,0,0,0,1,0
0,113,0.213094,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.348507,0.520209,0.520215,0,0,0,0,0
0,114,0.215409,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.315327,0.761261,0.761268,0,0,0,0,0
0,115,0.209618,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.446148,0.761403,0.76141,0,0,0,0,0
0,116,0.217217,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.366967,0.554653,0.554658,0,0,0,0,0
0,117,0.211952,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.293699,0.697005,0.697012,0,0,0,0,0
0,118,0.213592,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.465951,0.811792,0.8118,0,0,0,0,0
0,119,0.218384,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.383685,0.638741,0.638748,0,0,0,0,0
0,120,0.208551,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.303634,0.692539,0.692545,0,0,0,0,0
0,121,0.213411,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.364357,0.535653,0.535659,0,0,0,0,0
0,122,0.219418,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.248706,0.47339,0.473395,0,0,0,0,0
0,123,0.210528,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.474045,0.726613,0.726619,0,0,0,0,0
0,124,0.209196,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.479815,0.886421,0.886427,0,0,0,0,0
0,125,0.214689,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.360729,0.541519,0.541525,0,0,0,0,0
0,126,0.217708,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.328028,0.55546,0.555467,0,0,0,0,0
0,127,0.208578,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.287898,0.693918,0.693923,0,0,0,0,0
